#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
164;J0335+4555;03:35:16.6;+45:55:53.4;150.348;-8.038;0.269201;3.714703;47.10;*;*;
165;J0335+6623;03:35:57.0;+66:23:23.6;138.383;8.588;1.761934;0.567558;66.73;*;*;
166;J0337+1715;03:37:43.8;+17:15:14.8;169.990;-30.039;0.002733;365.953363;21.32;ELL1;OPT:[rsa+14],XRS:[ska+16];
167;J0337+79;03:37:22;+79:01:44;130.580;18.709;2.056210;0.486332;16.67;*;*;
168;J0340+4130;03:40:23.2;+41:30:45.2;153.783;-11.022;0.003299;303.090979;49.58;*;GRS:4FGL_J0340.3+4130[aab+22],GRS:3FGL_J;
169;J0341+5711;03:41;+57:11;144.371;1.546;1.888000;0.529661;101.00;*;*;
170;J0343+06;03:43;+06;180.791;-36.929;1.007640;0.992418;46.00;*;*;
171;J0343+5312;03:43:12.9;+53:12:53.4;147.017;-1.428;1.934478;0.516935;67.30;*;*;
172;J0343-3000;03:43:28.0;-30:00:27.4;227.758;-52.338;2.597027;0.385056;20.20;*;*;
173;J0344-0901;03:44:37.4;-09:01:02.6;197.397;-45.333;1.226006;0.815657;30.90;*;*;
174;J0348+0432;03:48:43.6;+04:32:11.4;183.337;-36.774;0.039123;25.560637;40.46;ELL1;*;
175;J0349+2340;03:49:57.3;+23:40:53;167.434;-23.384;2.420771;0.413092;62.96;*;*;
176;J0355+28;03:55;+28;165.177;-19.444;0.094300;10.604454;48.68;*;*;
177;J0357+3205;03:57:52.5;+32:05:25;162.760;-16.006;0.444104;2.251722;*;*;GRS:4FGL_J0357.8+3204[aab+22];
178;J0357+5236;03:57:44.8;+52:36:57.4;149.099;-0.522;0.197030;5.075367;103.71;*;*;
179;J0358+4155;03:58:03.1;+41:55:19.0;156.112;-8.620;0.226484;4.415316;46.30;*;*;
180;J0358+5413;03:58:53.7;+54:13:13.7;148.190;0.811;0.156384;6.394511;57.10;*;XRS:PWN[mvk+06];
181;J0358+6627;03:58:37.9;+66:27:46.5;140.128;10.064;0.091506;10.928271;62.33;*;*;
182;J0359+5414;03:59:26.0;+54:14:55.7;148.231;0.883;0.079427;12.590140;*;*;GRS:4FGL_J0359.4+5414[aab+22],XRS:[wcp+1;
183;J0401-7608;04:01:51.6;-76:08:12.8;290.313;-35.907;0.545254;1.834006;21.70;*;*;
184;J0402+4825;04:02:40.6;+48:25:57.5;152.428;-3.177;0.512194;1.952384;85.20;*;*;
185;J0405+3347;04:05:29.5;+33:47:00.3;162.783;-13.678;0.063954;15.636251;53.60;*;*;
186;J0406+30;04:06;+30;165.571;-16.338;0.002600;384.615385;49.37;*;*;
187;J0406+3039;04:06:32.5;+30:39:42.4;165.179;-15.782;0.002609;383.339448;*;ELL1;*;
188;J0406+6138;04:06:30.0;+61:38:41.4;144.025;7.046;0.594576;1.681870;65.41;*;*;
189;J0407+1607;04:07:54.9;+16:07:16.4;176.618;-25.656;0.025702;38.907478;35.59;BT;*;
190;J0408+4955_P;04:08:07;+49:55;152.100;-1.479;0.011442;87.397308;73.70;*;*;
191;J0408+551;04:08;+55;148.663;2.267;1.837000;0.544366;55.00;*;*;
192;J0408+552;04:08;+55;148.663;2.267;0.754000;1.326260;63.80;*;*;
