#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
4000;J2017+3625;20:17:55.8;+36:25:07.9;74.507;0.390;0.166749;1.36e-15;5.997031;-4.891e-14;*;*;*;*;*;0.000;0.000;8.500;GRS:4FGL_J2017.9+3625[aab+22],XRS:[wcp+1;2017;NRAD[aab+22];*;1.94e+06;4.82e+11;1.16e+34;
4001;J2017+5906;20:17:44.5;+59:06:46.9;93.608;12.903;0.403478;2.22e-16;2.478448;-1.361e-15;60.28;33.00;20.000;*;3.906;0.872;3.800;8.740;*;2014;*;*;2.89e+07;3.03e+11;1.33e+32;
4002;J2017-0414;20:17;-04;39.310;-20.831;0.040600;*;24.630542;*;30.85;*;1.400;*;1.771;-0.630;1.049;7.219;*;2020;*;*;*;*;*;
4003;J2017-1614;20:17:46.1;-16:14:15.5;27.314;-26.220;0.002314;2.45e-21;432.098476;-4.574e-16;25.44;*;*;ELL1;2.400;-1.060;0.988;6.587;GRS:4FGL_J2017.7-1612[aab+22];2016;HE;*;1.50e+10;7.62e+07;7.80e+33;
4004;J2017-2737;20:17:02;-27:30:50;15.228;-29.909;0.224524;6.10e-15;4.453874;-1.210e-13;25.82;*;13.000;*;1.549;-0.772;0.353;7.204;*;2020;*;*;5.83e+05;1.18e+12;2.13e+34;
4005;J2018+2839;20:18:03.8;+28:39:54.2;68.099;-3.983;0.557953;1.48e-16;1.792264;-4.757e-16;14.20;-34.90;15.500;*;0.980;-0.068;0.907;8.135;*;1968;*;*;5.97e+07;2.91e+11;3.37e+31;
4006;J2018+3418_P;20:18:15;+34:18;72.791;-0.855;2.191600;*;0.456288;*;317.10;*;*;*;10.394;-0.155;9.928;5.425;*;2021;*;*;*;*;*;
4007;J2018+3431;20:18:53.1;+34:31:00.5;73.044;-0.841;0.387664;1.84e-15;2.579553;-1.222e-14;222.35;-9.00;19.100;*;6.636;-0.097;6.347;6.565;*;2006;*;*;3.34e+06;8.54e+11;1.24e+33;
4008;J2018+3518_P;20:18:48.1;+35:18:45.8;73.692;-0.379;0.031316;3.92e-19;31.932335;-4.000e-16;266.99;-332.00;1.800;ELL1;7.077;-0.047;6.792;6.513;*;2025;*;*;1.26e+09;3.55e+09;5.04e+32;
4009;J2018-0414;20:18:10.4;-04:14:12.7;39.229;-21.200;0.040612;1.23e-19;24.623137;-7.460e-17;30.91;*;*;*;1.806;-0.653;1.065;7.196;*;2023;*;*;5.23e+09;2.26e+09;7.25e+31;
4010;J2019+2425;20:19:31.9;+24:25:15.3;64.746;-6.624;0.003935;7.02e-21;254.160346;-4.537e-16;17.20;-67.60;0.600;BT;1.163;-0.134;1.045;8.007;*;1993;*;*;8.88e+09;1.68e+08;4.55e+33;
4011;J2019+3718_P;20:19:08.7;+37:18;75.372;0.685;0.505200;*;1.979414;*;461.60;*;*;*;14.754;0.176;14.275;4.774;*;2025;*;*;*;*;*;
4012;J2019+3810;20:19:36;+38:12;76.166;1.119;0.525240;*;1.903892;*;495.00;*;24.000;*;18.448;0.360;17.909;4.090;*;2024;*;*;*;*;*;
4013;J2019+72;20:19;+72;105.241;19.337;0.219000;*;4.566210;*;34.88;*;20.000;*;2.494;0.826;2.271;9.119;*;2020;*;*;*;*;*;
4014;J2021+3651;20:21:05.4;+36:51:04.8;75.222;0.111;0.103741;9.57e-14;9.639395;-8.894e-12;367.50;517.30;9.900;*;1.800;0.003;1.740;8.041;GRS:4FGL_J2021.1+3651[aab+22];2002;HE[aaa+09d];4;1.72e+04;3.19e+12;3.38e+36;
4015;J2021+3740_P;20:21:49.3;+37:40;75.975;0.455;0.548090;*;1.824518;*;201.30;*;*;*;5.939;0.047;5.762;7.061;*;2025;*;*;*;*;*;
4016;J2021+4024_P;20:21:13;+40:24;78.157;2.107;0.370540;*;2.698764;*;680.50;-763.00;39.000;*;25.000;0.919;24.451;3.373;*;2021;*;*;*;*;*;
4017;J2021+4026;20:21:29.9;+40:26:45.1;78.225;2.089;0.265318;5.47e-14;3.769067;-7.768e-13;*;*;3.000;*;2.150;0.078;2.103;8.062;GRS:4FGL_J2021.5+4026[aab+22],SNR:G78.2+;2009;NRAD[aab+22];*;7.69e+04;3.85e+12;1.16e+35;
4018;J2022+21;20:22:24;+21:11;62.403;-8.976;0.803500;*;1.244555;*;73.52;*;24.000;*;6.002;-0.936;5.254;5.754;*;2019;*;*;*;*;*;
4019;J2022+2534;20:22:33.2;+25:34:42.4;66.097;-6.543;0.002646;6.16e-21;377.938124;-8.800e-16;53.66;-173.30;0.490;ELL1;4.015;-0.457;3.647;6.884;*;2023;*;*;6.80e+09;1.29e+08;1.31e+34;
4020;J2022+2854;20:22:37.0;+28:54:23.1;68.863;-4.671;0.343402;1.89e-15;2.912038;-1.606e-14;24.63;-75.04;10.400;*;2.100;-0.171;1.952;7.745;*;1973;*;*;2.87e+06;8.16e+11;1.85e+33;
4021;J2022+3812_P;20:22:46.2;+38:12;76.520;0.606;0.293750;*;3.404255;*;460.00;*;*;*;14.832;0.157;14.423;5.043;*;2025;*;*;*;*;*;
4022;J2022+3842;20:22:21.6;+38:42:14.8;76.888;0.960;0.048579;8.61e-14;20.585120;-3.648e-11;429.10;270.00;*;*;10.000;0.168;9.738;6.232;GRS:4FGL_J2022.3+3840[aab+22],XRS:CXOU_J;2011;HE;1;8.94e+03;2.07e+12;2.96e+37;
4023;J2022+3845_P;20:22:11;+38:45;76.906;1.015;1.008900;*;0.991179;*;487.50;332.00;26.000;*;17.924;0.317;17.455;4.440;*;2021;*;*;*;*;*;
4024;J2022+5154;20:22:49.8;+51:54:50.2;87.862;8.380;0.529197;3.06e-15;1.889656;-1.094e-14;22.55;-6.73;11.900;*;1.800;0.262;1.780;8.434;*;1970;*;1;2.74e+06;1.29e+12;8.16e+32;
4025;J2023+0937;20:23:18.0;+09:37:56.9;52.593;-15.430;1.604738;7.44e-16;0.623155;-2.890e-16;61.80;*;*;*;5.206;-1.385;3.986;5.451;*;2024;*;*;3.42e+07;1.11e+12;7.11e+30;
4026;J2023+2853_P;20:23:16;+28:52;68.911;-4.811;0.011330;*;88.261253;*;22.74;*;0.400;*;1.570;-0.132;1.460;7.937;*;2021;*;*;*;*;*;
4027;J2023+5037;20:23:41.9;+50:37:34.8;86.863;7.544;0.372619;2.51e-15;2.683706;-1.809e-14;32.99;44.84;3.500;*;2.059;0.270;2.038;8.388;*;1985;*;*;2.35e+06;9.79e+11;1.92e+33;
4028;J2024+3751_P;20:24:32.9;+37:51;76.434;0.119;0.211640;*;4.725005;*;446.60;*;*;*;15.461;0.032;15.030;4.873;*;2025;*;*;*;*;*;
4029;J2024+48;20:24;+48;84.710;6.017;1.262000;*;0.792393;*;99.00;*;*;*;4.552;0.477;4.508;8.083;*;2008;*;*;*;*;*;
4030;J2026+3656_P;20:26:52.6;+36:56;75.954;-0.789;1.785520;*;0.560061;*;280.70;*;*;*;7.821;-0.108;7.586;6.602;*;2025;*;*;*;*;*;
4031;J2027+0255;20:27:30.8;+02:55:37.9;47.131;-19.786;0.010596;5.27e-20;94.379513;-4.694e-16;51.13;-115.70;*;*;4.540;-1.537;3.131;5.594;*;2023;*;*;3.19e+09;7.56e+08;1.75e+33;
4032;J2027+2146;20:27:16.6;+21:46:04.4;63.538;-9.587;0.398173;2.03e-16;2.511471;-1.279e-15;97.09;-211.10;8.400;*;10.296;-1.715;9.089;3.976;*;1975;*;*;3.11e+07;2.88e+11;1.27e+32;
4033;J2027+2837_P;20:27:47.0;+28:37;69.275;-5.765;0.004790;*;208.768267;*;131.90;*;*;*;10.678;-1.073;9.936;4.740;*;2025;*;*;*;*;*;
4034;J2027+4557;20:27:16.2;+45:57:57.0;83.358;4.394;1.099651;3.09e-16;0.909379;-2.559e-16;229.59;335.50;19.700;*;9.004;0.690;8.917;7.462;*;2008;*;*;5.63e+07;5.90e+11;9.19e+30;
4035;J2027+7502;20:27:23.2;+75:02:29.3;108.368;20.313;0.515219;8.89e-16;1.940924;-3.350e-15;11.42;*;30.000;*;0.743;0.258;0.661;8.720;*;2014;*;*;9.18e+06;6.85e+11;2.57e+32;
4036;J2028+3332;20:28:19.8;+33:32:04.3;73.361;-3.008;0.176707;4.86e-15;5.659072;-1.556e-13;*;*;*;*;*;-0.000;0.000;8.500;GRS:4FGL_J2028.3+3331[aab+22];2012;NRAD[aab+22];*;5.76e+05;9.38e+11;3.48e+34;
4037;J2029+34;20:29;+34:37;74.322;-2.489;1.819400;*;0.549632;*;97.00;*;*;*;5.193;-0.226;4.995;7.098;*;2022;*;*;*;*;*;
4038;J2029+3434_P;20:29:26.3;+34:34;74.334;-2.591;1.808820;*;0.552847;*;72.90;*;*;*;4.517;-0.204;4.345;7.282;*;2025;*;*;*;*;*;
4039;J2029+3744;20:29:23.8;+37:44:08.1;76.898;-0.727;1.216805;1.23e-14;0.821825;-8.321e-15;190.66;-6.00;19.900;*;5.771;-0.073;5.620;7.192;*;1985;*;1;1.56e+06;3.92e+12;2.70e+32;
4040;J2029+4453_P;20:29:10.1;+44:53;82.669;3.494;1.361370;*;0.734554;*;333.20;*;*;*;11.540;0.703;11.424;7.030;*;2025;*;*;*;*;*;
4041;J2029+5459;20:29:16.9;+54:59:33.5;90.981;9.327;0.578909;2.26e-15;1.727387;-6.730e-15;59.75;*;*;*;3.450;0.559;3.404;8.558;*;2024;*;2;4.07e+06;1.16e+12;4.59e+32;
4042;J2030+2228;20:30:40.4;+22:28:21.8;64.580;-9.833;0.630513;8.85e-16;1.586011;-2.227e-15;71.86;-193.50;19.400;*;6.393;-1.092;5.689;5.796;*;1975;*;*;1.13e+07;7.56e+11;1.39e+32;
4043;J2030+3641;20:30:00.2;+36:41:27.1;76.123;-1.438;0.200129;6.50e-15;4.996769;-1.623e-13;246.00;511.40;9.000;*;6.947;-0.174;6.742;6.834;GRS:4FGL_J2030.0+3641[aab+22];2012;HE;*;4.88e+05;1.15e+12;3.20e+34;
4044;J2030+3818_P;20:30:08;+38:18;77.440;-0.513;0.133720;*;7.478313;*;596.70;*;*;*;25.000;-0.224;24.401;3.064;*;2021;*;*;*;*;*;
4045;J2030+3833_P;20:30:31;+38:33;77.686;-0.427;*;*;*;*;417.00;*;*;*;15.175;-0.113;14.825;5.264;*;2023;RRAT[zhx+23],RRAT[hzw+25];*;*;*;*;
4046;J2030+3929_P;20:30:47;+39:29;78.471;0.081;1.718420;*;0.581930;*;491.90;-103.00;16.900;*;25.000;0.036;24.496;3.503;*;2021;*;*;*;*;*;
4047;J2030+3944_P;20:30:22;+39:44;78.625;0.294;0.306180;*;3.266053;*;937.40;-12.00;62.000;*;25.000;0.128;24.509;3.569;*;2021;*;*;*;*;*;
4048;J2030+4415;20:30:51.3;+44:15:38.1;82.340;2.885;0.227070;6.48e-15;4.403925;-1.258e-13;*;*;*;*;0.720;0.036;0.713;8.404;GRS:4FGL_J2030.9+4416[aab+22];2012;NRAD[aab+22];*;5.55e+05;1.23e+12;2.19e+34;
4049;J2030+55;20:30;+55;91.047;9.247;0.579000;*;1.727116;*;59.43;*;19.000;*;3.423;0.550;3.378;8.562;*;2008;*;*;*;*;*;
4050;J2031+34;20:31:00;+34:19;74.320;-2.999;1.819000;*;0.549753;*;105.00;*;*;*;5.446;-0.285;5.236;7.030;*;2024;*;*;*;*;*;
4051;J2031-1254;20:31:30.3;-12:54:28.8;32.228;-27.951;0.005788;6.02e-21;172.760570;-1.796e-16;22.94;*;*;*;1.423;-0.667;0.670;7.437;*;2024;*;*;1.52e+10;1.89e+08;1.22e+33;
4052;J2032+0701;20:32:27.0;+07:01:41.0;51.525;-18.726;0.409576;1.59e-16;2.441547;-9.473e-16;73.79;94.00;*;*;25.000;-8.026;18.536;-6.231;*;2023;*;*;4.08e+07;2.58e+11;9.13e+31;
4053;J2032+4055_P;20:32:38.3;+40:55;79.836;0.644;0.048740;*;20.517029;*;372.40;*;*;*;10.069;0.113;9.910;6.723;*;2025;*;*;*;*;*;
4054;J2032+4127;20:32:13.1;+41:27:24.3;80.224;1.028;0.143246;1.13e-14;6.980975;-5.510e-13;114.67;212.90;6.800;BT;1.330;0.024;1.310;8.274;GRS:4FGL_J2032.2+4127[aab+22],OPT:MT91_2;2009;HE;1;2.01e+05;1.29e+12;1.52e+35;
4055;J2033+0042;20:33:31.1;+00:42:24.1;45.877;-22.196;5.013400;9.69e-15;0.199465;-3.856e-16;37.84;-71.40;78.000;*;2.736;-1.034;1.818;6.736;*;2010;RRAT;*;8.20e+06;7.05e+12;3.04e+30;
4056;J2033+1734;20:33:27.5;+17:34:58.4;60.857;-13.154;0.005949;1.11e-20;168.096678;-3.150e-16;25.07;-71.50;0.200;DD;1.739;-0.396;1.479;7.675;*;1996;*;*;8.46e+09;2.61e+08;2.09e+33;
4057;J2033-1938;20:33:55.4;-19:38:59;25.313;-31.049;1.281719;4.55e-16;0.780202;-2.770e-16;23.47;-17.70;11.000;*;1.525;-0.787;0.559;7.319;*;2013;*;*;4.46e+07;7.73e+11;8.53e+30;
4058;J2034+3632;20:34;+36:32;76.471;-2.178;0.003650;1.72e-21;273.950000;-1.290e-16;*;*;*;*;*;-0.000;0.000;8.500;GRS:4FGL_J2035.0+3632[aab+22];2020;NRAD[nie+20];*;3.36e+10;8.02e+07;1.40e+33;
4059;J2035+3538;20:35:36;+35:36;75.915;-2.995;0.479980;*;2.083420;*;219.00;*;7.000;*;9.515;-0.497;9.216;6.188;*;2024;*;*;*;*;*;
4060;J2035+3655;20:35:00.0;+36:55:52.2;76.910;-2.101;0.024565;1.24e-18;40.708379;-2.056e-15;136.79;*;0.684;*;5.408;-0.198;5.264;7.276;*;2024;*;*;3.14e+08;5.59e+09;3.30e+33;
4061;J2036+2835;20:36:46.3;+28:35:10.4;70.413;-7.382;1.358727;2.09e-15;0.735983;-1.132e-15;84.22;-158.14;25.900;*;6.741;-0.866;6.298;6.259;*;2013;*;*;1.03e+07;1.71e+12;3.29e+31;
4062;J2036+3506_P;20:36:11.6;+35:06;75.587;-3.392;1.370920;*;0.729437;*;108.40;*;*;*;5.409;-0.320;5.230;7.156;*;2025;*;*;*;*;*;
4063;J2036+6646;20:36:52.3;+66:46:20.7;101.445;15.259;0.501927;9.40e-16;1.992321;-3.731e-15;50.76;*;19.500;*;3.230;0.850;3.054;9.118;*;2019;*;*;8.46e+06;6.95e+11;2.93e+32;
4064;J2037+1942;20:37:14.6;+19:42:52.5;63.177;-12.673;2.074379;2.04e-15;0.482072;-4.737e-16;36.89;-110.70;35.500;*;2.806;-0.616;2.443;7.265;*;1985;*;*;1.61e+07;2.08e+12;9.02e+30;
4065;J2037+3621;20:37:27.4;+36:21:24.1;76.746;-2.840;0.618715;4.50e-15;1.616253;-1.176e-14;93.56;251.90;12.600;*;4.851;-0.240;4.716;7.389;*;1985;*;*;2.18e+06;1.69e+12;7.50e+32;
4066;J2038+3447;20:38:21.3;+34:47:54.1;75.613;-3.927;0.160165;9.00e-19;6.243567;-3.510e-17;57.93;*;*;DD;3.841;-0.263;3.712;7.548;*;2024;*;*;2.82e+09;1.22e+10;8.65e+30;
4067;J2038+35;20:38;+35;75.730;-3.747;0.160000;*;6.250000;*;57.91;*;3.800;*;3.814;-0.249;3.688;7.562;*;2008;*;*;*;*;*;
4068;J2038+5319;20:38:03.1;+53:19:12.8;90.368;7.308;1.424568;9.44e-16;0.701967;-4.653e-16;160.20;-103.05;19.400;*;8.135;1.035;8.069;8.552;*;1985;*;*;2.39e+07;1.17e+12;1.29e+31;
4069;J2038-3816;20:38:54.2;-38:16:14.4;3.854;-36.740;1.577290;4.16e-15;0.633999;-1.673e-15;33.96;17.60;26.000;*;3.587;-2.146;0.193;5.632;*;1998;*;*;6.01e+06;2.59e+12;4.19e+31;
4070;J2039-3616;20:39:16.5;-36:16:17.2;6.331;-36.517;0.003275;8.41e-21;305.339638;-7.845e-16;23.96;-14.50;0.270;ELL1;1.705;-1.015;0.151;7.138;GRS:4FGL_J2039.4-3616[aab+22];2014;HE[slr+14],HE[aab+22];*;6.17e+09;1.68e+08;9.46e+33;
4071;J2039-5617;20:39:34.9;-56:17:09.2;341.265;-37.145;0.002651;1.42e-20;377.229363;-2.016e-15;24.57;*;*;ELL1;1.800;-1.087;-0.461;7.141;GRS:4FGL_J2039.5-5617[aab+22];2021;HE[cnv+21],HE[cms+21];*;2.97e+09;1.96e+08;3.00e+34;
4072;J2040+1657;20:40:17.8;+16:57:30.4;61.286;-14.852;0.865606;5.95e-16;1.155260;-7.940e-16;50.69;-98.60;14.900;*;4.438;-1.138;3.762;6.439;*;2005;*;*;2.31e+07;7.26e+11;3.62e+31;
4073;J2040+20;20:40:00;+20:42;64.384;-12.627;0.290500;*;3.442341;*;31.00;*;*;*;2.306;-0.504;2.029;7.527;*;2024;*;*;*;*;*;
4074;J2040-21;20:40;-21;24.392;-32.849;0.563000;*;1.776199;*;23.87;*;22.000;*;1.660;-0.900;0.576;7.230;*;2020;*;*;*;*;*;
4075;J2040-2156;20:40:16.7;-21:56:17.8;23.361;-33.219;0.562575;1.31e-16;1.777540;-4.150e-16;23.75;*;*;*;1.657;-0.908;0.550;7.227;*;2024;*;*;6.79e+07;2.75e+11;2.91e+31;
4076;J2041+3934_P;20:41:11.0;+39:34;79.743;-1.471;0.379950;*;2.631925;*;410.00;*;*;*;25.000;-0.642;24.592;4.050;*;2025;*;*;*;*;*;
4077;J2041+4551;20:41:00;+45:50:58;84.689;2.406;1.159812;2.11e-14;0.862209;-1.570e-14;310.00;*;45.170;*;9.033;0.379;8.986;7.665;*;2024;*;*;8.70e+05;5.01e+12;5.35e+32;
4078;J2042+0246;20:42:11.0;+02:46:14.3;48.993;-23.016;0.004534;1.40e-20;220.569096;-6.826e-16;9.27;-21.00;0.100;ELL1;0.636;-0.249;0.442;8.116;GRS:4FGL_J2042.2+0245[aab+22];2016;HE;*;5.12e+09;2.55e+08;5.94e+33;
4079;J2042+4353_P;20:42:53.2;+43:53;83.342;0.934;0.016020;*;62.421973;*;292.60;*;*;*;7.788;0.127;7.734;7.597;*;2025;*;*;*;*;*;
4080;J2042+4550_P;20:42:08.7;+45:50;84.798;2.239;0.548410;*;1.823453;*;298.60;*;*;*;8.845;0.345;8.802;7.699;*;2025;*;*;*;*;*;
4081;J2043+1711;20:43:20.8;+17:11:28.8;61.919;-15.313;0.002380;5.24e-21;420.189443;-9.259e-16;20.71;-73.04;0.200;ELL1;1.389;-0.367;1.182;7.869;GRS:4FGL_J2043.3+1711[aab+22];2011;HE;*;7.19e+09;1.13e+08;1.54e+34;
4082;J2043+2740;20:43:43.5;+27:40:56;70.612;-9.151;0.096131;1.27e-15;10.402519;-1.374e-13;21.02;-96.10;3.000;*;1.480;-0.235;1.378;8.015;GRS:4FGL_J2043.7+2741[aab+22];1996;HE[naa+11];*;1.20e+06;3.54e+11;5.64e+34;
4083;J2043+31;20:43:00;+31:27;73.535;-6.733;0.937000;*;1.067236;*;145.00;*;*;*;25.000;-2.931;23.809;1.463;*;2024;*;*;*;*;*;
4084;J2043+7045;20:43;+70:45;105.186;17.052;0.588000;*;1.700680;*;57.64;*;37.000;*;3.999;1.173;3.690;9.502;*;2008;*;*;*;*;*;
4085;J2044+28;20:44;+28;70.905;-9.006;1.618000;*;0.618047;*;90.30;*;31.000;*;8.599;-1.346;8.026;5.722;*;2020;*;*;*;*;*;
4086;J2044+3843_P;20:44:31.2;+38:43;79.473;-2.504;*;*;*;*;230.00;*;*;*;8.028;-0.351;7.885;7.035;*;2025;RRAT[hzw+25];*;*;*;*;
4087;J2044+4331_P;20:44:03.3;+43:31;83.185;0.541;16.606400;*;0.060218;*;499.70;*;*;*;25.000;0.236;24.822;5.533;*;2025;*;*;*;*;*;
4088;J2044+4614;20:44:58.8;+46:14:54;85.429;2.108;1.392715;6.30e-16;0.718022;-3.248e-16;315.40;112.80;26.200;*;8.952;0.329;8.917;7.787;*;1996;*;*;3.50e+07;9.48e+11;9.21e+30;
4089;J2045+0912;20:45:47.3;+09:12:29.1;55.362;-20.329;0.395555;1.95e-16;2.528093;-1.248e-15;31.78;-86.50;10.000;*;2.460;-0.855;1.898;7.189;*;2005;*;*;3.21e+07;2.81e+11;1.25e+32;
4090;J2045+3633;20:45:01.5;+36:33:01.4;77.832;-3.926;0.031682;5.88e-19;31.563821;-5.863e-16;129.53;-263.50;12.300;DDGR;5.629;-0.385;5.490;7.316;*;2017;*;*;8.53e+08;4.37e+09;7.31e+32;
4091;J2045+4431_P;20:45:25.2;+44:31;84.121;0.970;0.141830;*;7.050694;*;432.40;*;*;*;12.820;0.217;12.751;7.187;*;2025;*;*;*;*;*;
4092;J2045-68;20:45:17;-68:36:20;326.100;-35.400;0.002960;*;337.837838;*;21.20;*;*;*;1.273;-0.737;-0.579;7.639;GRS:4FGL_J2045.9-6835[aab+22];2015;HE[aab+22];*;*;*;*;
4093;J2045-6837;20:45:40.0;-68:37:26.1;326.066;-35.429;0.002962;1.28e-20;337.580677;-1.459e-15;21.07;17.00;*;ELL1;1.264;-0.733;-0.575;7.645;*;2025;HE[kjc+25];*;3.67e+09;1.97e+08;1.94e+34;
4094;J2046+1540;20:46:39.3;+15:40:33.5;61.112;-16.838;1.138286;1.82e-16;0.878514;-1.407e-16;39.82;-90.20;15.000;*;3.226;-0.934;2.703;7.008;*;1978;*;*;9.89e+07;4.61e+11;4.88e+30;
4095;J2046+4236_P;20:46:32.5;+42:36;82.750;-0.385;0.523820;*;1.909053;*;466.00;*;*;*;25.000;-0.168;24.800;5.345;*;2025;*;*;*;*;*;
4096;J2046+4253_P;20:46:54.8;+42:53;83.014;-0.261;0.331150;*;3.019780;*;622.10;*;*;*;25.000;-0.114;24.814;5.459;*;2025;*;*;*;*;*;
4097;J2046+5708;20:46:46.6;+57:08:37.0;94.199;8.637;0.476735;1.11e-14;2.097602;-4.893e-14;101.79;1.25;14.000;*;4.339;0.652;4.278;8.814;*;1985;*;*;6.79e+05;2.33e+12;4.05e+33;
4098;J2046-0421;20:46:00.1;-04:21:26.2;42.678;-27.387;1.546938;1.47e-15;0.646438;-6.149e-16;35.98;0.70;20.800;*;5.400;-2.484;3.250;4.975;*;1978;*;*;1.67e+07;1.53e+12;1.57e+31;
4099;J2047+1053;20:47:10.2;+10:53:07.8;57.046;-19.676;0.004286;2.08e-20;233.321703;-1.132e-15;34.63;*;0.300;BT;2.798;-0.942;2.211;7.067;GRS:4FGL_J2047.3+1051[aab+22];2012;HE;*;3.26e+09;3.02e+08;1.04e+34;
4100;J2047+5029;20:47:54.6;+50:29:38.1;89.057;4.376;0.445945;4.18e-15;2.242431;-2.100e-14;107.68;-126.50;2.500;*;3.972;0.303;3.960;8.435;*;2009;*;*;1.69e+06;1.38e+12;1.86e+33;
4101;J2048+2255;20:48:45.8;+22:55:05.3;67.453;-12.944;0.283901;1.52e-17;3.522355;-1.881e-16;70.69;-169.50;6.200;*;7.647;-1.713;6.883;5.642;*;2003;*;*;2.97e+08;6.64e+10;2.62e+31;
4102;J2048+4951;20:48:55.9;+49:51:53.0;88.669;3.854;0.568301;5.29e-15;1.759631;-1.638e-14;222.80;-196.00;*;*;6.777;0.456;6.760;8.343;*;2022;*;*;1.70e+06;1.75e+12;1.14e+33;
4103;J2048-1616;20:48:35.6;-16:16:44.5;30.514;-33.077;1.961585;1.10e-14;0.509792;-2.848e-15;11.46;-10.74;12.000;*;0.950;-0.518;0.404;7.814;*;1968;*;*;2.84e+06;4.69e+12;5.73e+31;
4104;J2050+1259;20:50:57.2;+12:59:09;59.436;-19.242;1.221020;5.04e-16;0.818987;-3.380e-16;52.40;-78.50;61.000;*;5.829;-1.921;4.739;5.702;*;2003;*;*;3.84e+07;7.94e+11;1.09e+31;
4105;J2051+1248;20:51:29.6;+12:48:21.5;59.361;-19.453;0.553167;1.90e-17;1.807771;-6.209e-17;43.45;-69.00;49.000;*;4.069;-1.355;3.301;6.545;*;2017;*;*;4.61e+08;1.04e+11;4.43e+30;
4106;J2051+4434_P;20:51:29;+44:34;84.840;0.163;1.303160;*;0.767365;*;616.00;-99.70;229.810;*;25.000;0.071;24.899;6.252;*;2021;*;*;*;*;*;
4107;J2051+50;20:51:49;+50:40:05;89.584;4.005;0.001680;*;595.238095;*;23.90;32.00;0.100;*;3.076;0.215;3.068;8.478;GRS:4FGL_J2051.7+5051[aab+22];2022;HE[aab+22];*;*;*;*;
4108;J2051-0827;20:51:07.5;-08:27:37.7;39.192;-30.411;0.004509;1.27e-20;221.796284;-6.264e-16;20.73;-46.00;0.440;ELL1;1.469;-0.744;0.801;7.518;GRS:4FGL_J2051.0-0826[aab+22];1996;HE[sbl+96],HE[wkh+12];*;5.61e+09;2.42e+08;5.48e+33;
4109;J2052+1219;20:52:47.7;+12:19:59.0;59.145;-19.986;0.001985;6.70e-21;503.713303;-1.701e-15;41.96;*;*;ELL1;3.916;-1.338;3.159;6.613;GRS:4FGL_J2052.7+1218[aab+22];2016;HE[cck+16],HE[aab+22];*;4.69e+09;1.17e+08;3.38e+34;
4110;J2052+4421_P;20:52:53;+44:21;84.833;-0.168;0.375310;*;2.664464;*;547.00;-275.80;39.500;*;25.000;-0.073;24.898;6.249;*;2021;*;*;*;*;*;
4111;J2053+1718;20:53:49.4;+17:18:44.6;63.554;-17.264;0.119268;2.86e-19;8.384496;-2.014e-17;26.98;-55.00;1.500;*;2.087;-0.619;1.784;7.612;*;2018;*;*;6.60e+09;5.92e+09;6.67e+30;
4112;J2053+4455_P;20:53:14.6;+44:55;85.309;0.146;10.700000;*;0.093458;*;440.60;*;*;*;20.752;0.053;20.682;6.803;*;2025;*;*;*;*;*;
4113;J2053+4650;20:53:52.6;+46:50:51.7;86.861;1.302;0.012586;1.72e-19;79.451623;-1.088e-15;98.08;-166.30;1.401;DDH;3.809;0.087;3.802;8.291;*;2017;*;*;1.16e+09;1.49e+09;3.41e+33;
4114;J2053+4718;20:53:45.4;+47:18:55.3;87.206;1.618;4.910379;1.48e-14;0.203650;-6.140e-16;331.30;-797.70;52.250;*;8.817;0.249;8.803;8.070;*;2021;*;*;5.26e+06;8.63e+12;4.94e+30;
4115;J2053-7200;20:53:47.2;-72:00:42.4;321.869;-34.998;0.341336;1.98e-16;2.929661;-1.696e-15;17.64;18.96;25.000;*;1.047;-0.601;-0.530;7.825;*;1978;*;*;2.74e+07;2.63e+11;1.96e+32;
4116;J2054-39;20:54;-39;3.355;-39.752;0.977000;*;1.023541;*;24.90;*;9.000;*;2.046;-1.308;0.092;6.930;*;2020;*;*;*;*;*;
4117;J2055+1545;20:56:02.5;+15:47:15;62.600;-18.600;0.002160;2.02e-20;462.962963;-4.327e-15;40.20;*;0.300;*;3.663;-1.168;3.082;6.902;GRS:4FGL_J2055.8+1545[aab+22],OPT:[tss+2;2013;HE[dsm+13],HE[aab+22];*;1.70e+09;2.11e+08;7.91e+34;
4118;J2055+2209;20:55:39.1;+22:09:27.2;67.832;-14.668;0.815181;1.34e-15;1.226721;-2.017e-15;36.35;-89.40;19.900;*;2.999;-0.759;2.687;7.405;*;1985;*;*;9.64e+06;1.06e+12;9.77e+31;
4119;J2055+2539;20:55:48.9;+25:39:59;70.688;-12.520;0.319561;4.10e-15;3.129289;-4.017e-14;*;*;*;*;0.620;-0.134;0.571;8.300;GRS:4FGL_J2055.8+2540[aab+22],XRS:XMMU_J;2010;NRAD;*;1.23e+06;1.16e+12;4.96e+33;
